x            y_obs        weight       y_calc       y_bkg        
5.0          166.0        0.00602      130.485      130.485      
5.02         176.0        0.00568      130.166      130.166      
5.04         166.0        0.00602      129.848      129.848      
5.06         161.0        0.00621      129.531      129.531      
5.08         174.0        0.00575      129.214      129.214      
5.1          129.0        0.00775      128.898      128.898      
5.12         136.0        0.00735      128.583      128.583      
5.14         169.0        0.00592      128.269      128.269      
5.16         141.0        0.00709      127.955      127.955      
5.18         144.0        0.00694      127.643      127.643      
5.2          151.0        0.00662      127.331      127.331      
5.22         151.0        0.00662      127.02       127.02       
5.24         148.0        0.00676      126.709      126.709      
5.26         144.0        0.00694      126.399      126.399      
5.28         169.0        0.00592      126.091      126.091      
5.3          163.0        0.00613      125.782      125.782      
5.32         153.0        0.00654      125.475      125.475      
5.34         144.0        0.00694      125.168      125.168      
5.36         141.0        0.00709      124.863      124.863      
5.38         146.0        0.00685      124.557      124.557      
5.4          132.0        0.00758      124.253      124.253      
5.42         148.0        0.00676      123.95       123.95       
5.44         139.0        0.00719      123.647      123.647      
5.46         139.0        0.00719      123.345      123.345      
5.48         129.0        0.00775      123.043      123.043      
5.5          132.0        0.00758      122.743      122.743      
5.52         129.0        0.00775      122.443      122.443      
5.54         132.0        0.00758      122.144      122.144      
5.56         144.0        0.00694      121.845      121.845      
5.58         139.0        0.00719      121.548      121.548      
5.6          144.0        0.00694      121.251      121.251      
5.62         148.0        0.00676      120.955      120.955      
5.64         121.0        0.00826      120.659      120.659      
5.66         123.0        0.00813      120.365      120.365      
5.68         118.0        0.00847      120.071      120.071      
5.7          141.0        0.00709      119.778      119.778      
5.72         134.0        0.00746      119.485      119.485      
5.74         127.0        0.00787      119.193      119.193      
5.76         114.0        0.00877      118.902      118.902      
5.78         129.0        0.00775      118.612      118.612      
5.8          129.0        0.00775      118.323      118.323      
5.82         129.0        0.00775      118.034      118.034      
5.84         108.0        0.00926      117.746      117.746      
5.86         125.0        0.008        117.458      117.458      
5.88         151.0        0.00662      117.172      117.172      
5.9          144.0        0.00694      116.886      116.886      
5.92         166.0        0.00602      116.6        116.6        
5.94         129.0        0.00775      116.316      116.316      
5.96         125.0        0.008        116.032      116.032      
5.98         132.0        0.00758      115.749      115.749      
6.0          114.0        0.00877      115.467      115.467      
6.02         129.0        0.00775      115.185      115.185      
6.04         134.0        0.00746      114.904      114.904      
6.06         139.0        0.00719      114.624      114.624      
6.08         104.0        0.00962      114.344      114.344      
6.1          100.0        0.01         114.065      114.065      
6.12         118.0        0.00847      113.787      113.787      
6.14         116.0        0.00862      113.51       113.51       
6.16         125.0        0.008        113.233      113.233      
6.18         132.0        0.00758      112.957      112.957      
6.2          118.0        0.00847      112.682      112.682      
6.22         106.0        0.00943      112.407      112.407      
6.24         116.0        0.00862      112.133      112.133      
